Program ID,University,degree,Funding Opportunities,link
9591,Hof University of Applied Sciences,Sustainable Engineering and Project Management (MBA and Eng),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9591/
8908,Anhalt University of Applied Sciences,Sustainable Land Management and Conservation,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8908/
6237,Hof University of Applied Sciences,Sustainable Textiles (MEng),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6237/
7220,Hof University of Applied Sciences,Sustainable Water Management and Engineering,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7220/
9682,Harz University of Applied Sciences,Technology and Innovation Management,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9682/
9855,Hof University of Applied Sciences,Textile Design (MA),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9855/
6451,Stralsund University of Applied Sciences,Tourism Development Strategies (TDS),Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6451/
9695,Leuphana University Lüneburg,"Sustainability Science: Ecosystems, Biodiversity and Society",No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9695/
4623,RWTH Aachen University,IDEA League Joint Master's in Applied Geophysics,Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4623/
5624,RWTH Aachen University,Master of Public Administration in European Studies (MPA-ES),Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5624/
8339,Brandenburg University of Technology Cottbus-Senftenberg,PhD Programme in Environmental and Resource Management,Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8339/
6954,University of Hildesheim,Global Information Management,Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6954/
4441,Ludwig-Maximilians-Universität München,Graduate School of Quantitative and Molecular Biosciences Munich,Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4441/
7691,Deggendorf Institute of Technology,MEng Artificial Intelligence for Smart Sensors and Actuators,Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7691/
9666,RPTU University of Kaiserslautern-Landau,Digital Process Engineering,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9666/
5225,Hochschule Bonn-Rhein-Sieg,International Business (BSc),Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5225/
4546,Technical University of Applied Sciences Würzburg-Schweinfurt (THWS),BA in International Management,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4546/
6979,Jade University of Applied Sciences Wilhelmshaven/Oldenburg/Elsfleth,"International Maritime Management, MSc (Distance Education)",No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6979/
4793,Westsächsische Hochschule Zwickau - University of Applied Sciences Zwickau,Road Traffic Engineering,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4793/
4674,Philipps-Universität Marburg,International Political Economy (MSc Double Degree),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4674/
4681,International Psychoanalytic University Berlin,Master of Arts in Psychology with a Clinical Focus,Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4681/
3924,Technische Hochschule Köln (University of Applied Sciences),Integrated Water Resources Management MENA Region (MSc),Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3924/
8597,Technical University of Applied Sciences Würzburg-Schweinfurt (THWS),Master Transformation (MBA),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8597/
4471,Technical University of Applied Sciences Würzburg-Schweinfurt (THWS),BEng in Logistics,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4471/
7142,Westsächsische Hochschule Zwickau - University of Applied Sciences Zwickau,Business in a Digital World (MBA),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7142/
9610,Technical University of Applied Sciences Würzburg-Schweinfurt (THWS),MBA International Business with Regional Focus,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9610/
6963,Hochschule für Technik Stuttgart - University of Applied Sciences,Photogrammetry and Geoinformatics,Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6963/
4109,Freie Universität Berlin,Berlin Graduate School for Global and Transregional Studies,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4109/
3986,Otto von Guericke University Magdeburg,European Studies (MA),Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3986/
4467,ASH Berlin,MA Social Work as a Human Rights Profession (MA-SWHR),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4467/
4063,Hertie School,Master of Public Policy (MPP),Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4063/
4378,Hertie School,Doctoral Programme in Governance,Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4378/
7211,University of Tübingen,Advanced Quantum Physics (MSc),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7211/
4451,Humboldt-Universität zu Berlin,Master's in Mind and Brain,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4451/
9771,Constructor University,BSc Industrial Engineering & Management,Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9771/
9777,Constructor University,MSc in Supply Chain Management,Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9777/
4716,University of Mannheim,Master of Arts in Sociology,Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4716/
8968,Westsächsische Hochschule Zwickau - University of Applied Sciences Zwickau,Applied Media Communication German-French (Bachelor's),Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8968/
7733,Hochschule Hannover - University of Applied Sciences and Arts,"Dairy Food Technology, BEng (Bilingual)",No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7733/
7749,Hochschule Hannover - University of Applied Sciences and Arts,"Food Packaging Technology, BEng (Bilingual)",No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7749/
7747,Hochschule Hannover - University of Applied Sciences and Arts,"Technology of Renewable Raw Materials, BEng (Bilingual)",No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7747/
8579,Rosenheim Technical University of Applied Sciences,Advanced Industrial Engineering,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8579/
3998,FH Aachen University of Applied Sciences,Bachelor of Engineering in Electrical Engineering,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3998/
